TransactionDate,PostDate,Description,Category,Type,Amount,Memo
12/24/2024,12/25/2024,Disney Plus,Bills & Utilities,Sale,-32.39,
12/24/2024,12/24/2024,Patreon* Membership,Entertainment,Sale,-4.29,
12/23/2024,12/24/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
12/18/2024,12/19/2024,WL *Steam Purchase,Entertainment,Sale,-42.89,
12/16/2024,12/16/2024,Payment Thank You - Web,,Payment,940.07,
12/13/2024,12/15/2024,WL *Steam Purchase,Entertainment,Sale,-32.16,
12/14/2024,12/15/2024,COSTCO GAS #1697,Gas,Sale,-24.29,
12/13/2024,12/15/2024,WL *Steam Purchase,Entertainment,Sale,-75.05,
12/09/2024,12/10/2024,WL *Steam Purchase,Entertainment,Sale,-75.05,
12/09/2024,12/10/2024,AMAZON MKTPLACE PMTS,Shopping,Return,19.23,
12/09/2024,12/10/2024,AMAZON MKTPL*ZX8W87N32,Shopping,Sale,-16.06,
12/08/2024,12/09/2024,AMAZON MKTPL*ZR8ON4F31,Shopping,Sale,-29.90,
12/08/2024,12/09/2024,SAMSCLUB #4763,Shopping,Sale,-79.41,
12/09/2024,12/09/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
12/06/2024,12/08/2024,COSTCO GAS #1697,Gas,Sale,-19.90,
12/06/2024,12/08/2024,COSTCO WHSE 1697,Shopping,Sale,-7.59,
12/06/2024,12/08/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-47.18,
12/06/2024,12/08/2024,COSTCO WHSE 1697,Shopping,Sale,-2.15,
12/06/2024,12/08/2024,H-E-B #724,Groceries,Sale,-32.33,
12/06/2024,12/08/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-75.05,
11/30/2024,12/01/2024,Amazon.com*Z39MU0I40,Shopping,Sale,-169.02,
11/30/2024,12/01/2024,AMAZON MKTPL*Z32B01VP1,Shopping,Sale,-25.73,
11/24/2024,11/25/2024,Disney Plus,Bills & Utilities,Sale,-32.39,
11/25/2024,11/25/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
11/24/2024,11/24/2024,Patreon* Membership,Entertainment,Sale,-4.29,
11/22/2024,11/22/2024,Patreon* Membership,Entertainment,Sale,-5.36,
11/16/2024,11/17/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-42.89,
11/15/2024,11/15/2024,Payment Thank You - Web,,Payment,825.15,
11/10/2024,11/12/2024,NEW SAMS.COM MEM#,Shopping,Sale,-25.00,
11/11/2024,11/12/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
11/08/2024,11/10/2024,COSTCO GAS #1697,Gas,Sale,-27.38,
11/07/2024,11/08/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-47.18,
11/03/2024,11/04/2024,COSTCO WHSE 1697,Shopping,Sale,-6.49,
11/02/2024,11/03/2024,H-E-B #724,Groceries,Sale,-45.17,
10/29/2024,10/31/2024,ADIDAS US ONLINE STORE,Shopping,Sale,-171.60,
10/28/2024,10/29/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
10/25/2024,10/27/2024,SHELL OIL 12780813007,Gas,Sale,-29.38,
10/24/2024,10/25/2024,Disney Plus,Bills & Utilities,Sale,-32.39,
10/24/2024,10/24/2024,Patreon* Membership,Entertainment,Sale,-4.29,
10/22/2024,10/22/2024,Patreon* Membership,Entertainment,Sale,-5.36,
10/20/2024,10/21/2024,H-E-B #724,Groceries,Sale,-26.65,
10/18/2024,10/20/2024,COOL RIVER CAR WASH,Automotive,Sale,-20.00,
10/18/2024,10/20/2024,WL *Steam Purchase,Entertainment,Sale,-107.24,
10/18/2024,10/20/2024,WL *Steam Purchase,Entertainment,Sale,-42.89,
10/18/2024,10/20/2024,SHELL OIL 12780813007,Gas,Sale,-25.33,
10/15/2024,10/15/2024,Payment Thank You - Web,,Payment,571.68,
10/14/2024,10/15/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
10/12/2024,10/14/2024,SHELL OIL 12780813007,Gas,Sale,-20.34,
10/12/2024,10/13/2024,H-E-B #724,Groceries,Sale,-33.46,
10/04/2024,10/06/2024,COSTCO GAS #1697,Gas,Sale,-24.39,
10/05/2024,10/06/2024,H-E-B #724,Groceries,Sale,-24.48,
10/02/2024,10/03/2024,WL *Steam Purchase,Entertainment,Sale,-107.24,
10/02/2024,10/03/2024,WL *Steam Purchase,Entertainment,Sale,-107.24,
10/01/2024,10/02/2024,H-E-B #724,Groceries,Sale,-18.21,
09/30/2024,10/01/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
09/28/2024,09/29/2024,COSTCO WHSE 1697,Shopping,Sale,-37.89,
09/28/2024,09/29/2024,COSTCO WHSE 1697,Shopping,Sale,-15.96,
09/26/2024,09/27/2024,COSTCO GAS #1697,Gas,Sale,-26.93,
09/24/2024,09/25/2024,Disney Plus,Bills & Utilities,Sale,-32.38,
09/24/2024,09/24/2024,Patreon* Membership,Entertainment,Sale,-4.29,
09/22/2024,09/22/2024,Patreon* Membership,Entertainment,Sale,-5.36,
09/20/2024,09/22/2024,COSTCO GAS #1697,Gas,Sale,-26.66,
09/21/2024,09/22/2024,H-E-B #724,Groceries,Sale,-50.65,
09/17/2024,09/18/2024,Payment Thank You-Mobile,,Payment,838.85,
09/16/2024,09/17/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-42.89,
09/16/2024,09/17/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
09/10/2024,09/11/2024,COSTCO GAS #1697,Gas,Sale,-17.30,
09/02/2024,09/04/2024,SHELL OIL 12780813007,Gas,Sale,-32.19,
09/02/2024,09/03/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
09/01/2024,09/02/2024,H-E-B #724,Groceries,Sale,-36.70,
08/27/2024,08/28/2024,KELSEY-SEYBOLD CLINIC PA,Health & Wellness,Sale,-54.74,
08/24/2024,08/25/2024,Disney Plus,Bills & Utilities,Sale,-32.38,
08/24/2024,08/25/2024,Patreon* Membership,Entertainment,Sale,-4.29,
08/22/2024,08/23/2024,COSTCO GAS #1697,Gas,Sale,-31.99,
08/22/2024,08/22/2024,Patreon* Membership,Entertainment,Sale,-5.36,
08/19/2024,08/20/2024,F45 TRAINING ALIANA,Health & Wellness,Sale,-90.00,
08/16/2024,08/18/2024,COSTCO WHSE #1146,Shopping,Sale,-4.59,
08/17/2024,08/18/2024,H-E-B #724,Groceries,Sale,-36.39,
08/16/2024,08/18/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-42.89,
08/16/2024,08/16/2024,STEAMGAMES.COM 4259522985,Entertainment,Sale,-107.24,
08/15/2024,08/15/2024,Payment Thank You - Web,,Payment,921.72,
08/12/2024,08/13/2024,WL *Steam Purchase,Entertainment,Sale,-47.18,
08/10/2024,08/11/2024,H-E-B #724,Groceries,Sale,-33.28,
08/09/2024,08/11/2024,H-E-B #724,Groceries,Sale,-28.83,
